"statename","year","BDRM1","BDRM2","Studio","MGR_all","state"
"New York",2015,1122,1180,1091,1173,"NY"
"New York",2016,1148,1196,1115,1194,"NY"
"New York",2016,1148,1196,1115,1194,"NY"
"New York",2016,1148,1196,1115,1194,"NY"
"New York",2017,1177,1223,1158,1226,"NY"
"New York",2017,1177,1223,1158,1226,"NY"
"New York",2017,1177,1223,1158,1226,"NY"
"New York",2018,1208,1281,1198,1274,"NY"
"New York",2018,1208,1281,1198,1274,"NY"
"New York",2018,1208,1281,1198,1274,"NY"
"New York",2019,1248,1320,1218,1309,"NY"
"New York",2019,1248,1320,1218,1309,"NY"
"New York",2019,1248,1320,1218,1309,"NY"
"North Carolina",2015,692,774,744,827,"NC"
"North Carolina",2015,692,774,744,827,"NC"
"North Carolina",2015,692,774,744,827,"NC"
"North Carolina",2016,734,779,727,839,"NC"
"North Carolina",2016,734,779,727,839,"NC"
"North Carolina",2016,734,779,727,839,"NC"
"North Carolina",2017,760,810,745,861,"NC"
"North Carolina",2017,760,810,745,861,"NC"
"North Carolina",2017,760,810,745,861,"NC"
"North Carolina",2018,801,846,765,900,"NC"
"North Carolina",2018,801,846,765,900,"NC"
"North Carolina",2018,801,846,765,900,"NC"
"North Carolina",2019,853,878,732,931,"NC"
"North Carolina",2019,853,878,732,931,"NC"
"North Carolina",2019,853,878,732,931,"NC"
"North Dakota",2015,594,774,657,775,"ND"
"North Dakota",2015,594,774,657,775,"ND"
"North Dakota",2015,594,774,657,775,"ND"
"North Dakota",2016,631,787,540,776,"ND"
"North Dakota",2016,631,787,540,776,"ND"
"North Dakota",2016,631,787,540,776,"ND"
"North Dakota",2017,637,790,618,785,"ND"
"North Dakota",2017,637,790,618,785,"ND"
"North Dakota",2017,637,790,618,785,"ND"
"North Dakota",2018,723,786,661,808,"ND"
"North Dakota",2018,723,786,661,808,"ND"
"North Dakota",2018,723,786,661,808,"ND"
"North Dakota",2019,668,815,658,804,"ND"
