state,year,homeless_individual,homeless_family,statename,population,homeless_individual_rate,homeless_family_rate,unemployment_rate,poverty_rate,median_income,fmr_studio,mgr_studio,min_wage
NC,2016,6396,3163,north carolina,10154788,0.06,0.03,5.1,13.6,53760,555,727,7.25
NC,2017,6044,2918,north carolina,10268233,0.06,0.03,4.5,15.2,50340,576,745,7.25
NC,2018,6451,2817,north carolina,10381615,0.06,0.03,3.9,13.1,53370,603,765,7.25
NC,2019,6867,2447,north carolina,10488084,0.07,0.02,3.9,12.7,61160,617,732,7.25
ND,2015,864,441,north dakota,754066,0.11,0.06,2.8,10.7,57420,496,657,7.25
ND,2016,662,261,north dakota,754434,0.09,0.03,3.1,11.1,60180,537,540,7.25
ND,2017,832,257,north dakota,754942,0.11,0.03,2.7,12.4,59890,598,618,7.25
ND,2018,467,75,north dakota,758080,0.06,0.01,2.6,9.7,66510,592,661,7.25
ND,2019,377,180,north dakota,762062,0.05,0.02,2.2,8.1,70030,605,658,7.25
NE,2015,1720,1024,nebraska,1891277,0.09,0.05,3,10.3,60470,416,600,8
NE,2016,1880,874,nebraska,1905616,0.1,0.05,3.1,9.6,59370,426,569,9
NE,2017,1698,803,nebraska,1915947,0.09,0.04,2.9,11.5,59620,436,548,9
NE,2018,1745,676,nebraska,1925614,0.09,0.04,2.8,10.5,67580,447,734,9
NE,2019,1715,650,nebraska,1934408,0.09,0.03,3.1,8.7,73070,488,727,9
NH,2015,778,667,new hampshire,1336350,0.06,0.05,3.4,7.3,75680,729,718,7.25
NH,2016,827,539,new hampshire,1342307,0.06,0.04,2.9,6.4,76260,683,740,7.25
NH,2017,776,680,new hampshire,1348787,0.06,0.05,2.7,7.2,74800,734,695,7.25
NH,2018,835,615,new hampshire,1353465,0.06,0.05,2.5,6.1,81350,758,765,7.25
NH,2019,812,584,new hampshire,1359711,0.06,0.04,2.6,3.7,86900,771,756,7.25
NJ,2015,6189,3909,new jersey,8867949,0.07,0.04,5.8,11.2,68360,911,855,8.38
NJ,2016,5540,3355,new jersey,8870827,0.06,0.04,5,9.4,68470,922,874,8.38
NJ,2017,5433,3103,new jersey,8885525,0.06,0.03,4.6,9.9,73000,960,953,8.44
NJ,2018,6048,3350,new jersey,8886025,0.07,0.04,4.1,8.2,74180,968,979,8.6
NJ,2019,5895,2967,new jersey,8882190,0.07,0.03,3.5,6.3,87730,989,1059,11
NM,2015,1666,963,new mexico,2089291,0.08,0.05,6.5,19.7,45120,488,548,7.5
