"State","year","rent_type","value"
"Indiana","2019","MGR - 2 BDRM",843
"Iowa","2015","MGR - Total",718
"Iowa","2015","MGR - Studio",543
"Iowa","2015","MGR - 1 BDRM",556
"Iowa","2015","MGR - 2 BDRM",741
"Iowa","2016","MGR - Total",741
"Iowa","2016","MGR - Studio",582
"Iowa","2016","MGR - 1 BDRM",580
"Iowa","2016","MGR - 2 BDRM",759
"Iowa","2017","MGR - Total",760
"Iowa","2017","MGR - Studio",562
"Iowa","2017","MGR - 1 BDRM",592
"Iowa","2017","MGR - 2 BDRM",771
"Iowa","2018","MGR - Total",777
"Iowa","2018","MGR - Studio",631
"Iowa","2018","MGR - 1 BDRM",604
"Iowa","2018","MGR - 2 BDRM",797
"Iowa","2019","MGR - Total",808
"Iowa","2019","MGR - Studio",568
"Iowa","2019","MGR - 1 BDRM",620
"Iowa","2019","MGR - 2 BDRM",826
"Kansas","2015","MGR - Total",782
"Kansas","2015","MGR - Studio",593
"Kansas","2015","MGR - 1 BDRM",584
"Kansas","2015","MGR - 2 BDRM",776
"Kansas","2016","MGR - Total",789
"Kansas","2016","MGR - Studio",589
"Kansas","2016","MGR - 1 BDRM",623
"Kansas","2016","MGR - 2 BDRM",780
"Kansas","2017","MGR - Total",815
"Kansas","2017","MGR - Studio",617
"Kansas","2017","MGR - 1 BDRM",652
"Kansas","2017","MGR - 2 BDRM",822
"Kansas","2018","MGR - Total",840
"Kansas","2018","MGR - Studio",707
"Kansas","2018","MGR - 1 BDRM",657
"Kansas","2018","MGR - 2 BDRM",836
"Kansas","2019","MGR - Total",862
"Kansas","2019","MGR - Studio",651
"Kansas","2019","MGR - 1 BDRM",682
"Kansas","2019","MGR - 2 BDRM",837
"Kentucky","2015","MGR - Total",702
"Kentucky","2015","MGR - Studio",508
"Kentucky","2015","MGR - 1 BDRM",558
"Kentucky","2015","MGR - 2 BDRM",690
"Kentucky","2016","MGR - Total",707
"Kentucky","2016","MGR - Studio",500
"Kentucky","2016","MGR - 1 BDRM",560
"Kentucky","2016","MGR - 2 BDRM",696
"Kentucky","2017","MGR - Total",724
"Kentucky","2017","MGR - Studio",507
"Kentucky","2017","MGR - 1 BDRM",578
"Kentucky","2017","MGR - 2 BDRM",703
"Kentucky","2018","MGR - Total",779
"Kentucky","2018","MGR - Studio",575
"Kentucky","2018","MGR - 1 BDRM",616
"Kentucky","2018","MGR - 2 BDRM",772
"Kentucky","2019","MGR - Total",773
"Kentucky","2019","MGR - Studio",574
"Kentucky","2019","MGR - 1 BDRM",652
"Kentucky","2019","MGR - 2 BDRM",760
"Louisiana","2015","MGR - Total",800
"Louisiana","2015","MGR - Studio",653
"Louisiana","2015","MGR - 1 BDRM",678
"Louisiana","2015","MGR - 2 BDRM",789
"Louisiana","2016","MGR - Total",808
"Louisiana","2016","MGR - Studio",632
"Louisiana","2016","MGR - 1 BDRM",681
"Louisiana","2016","MGR - 2 BDRM",802
"Louisiana","2017","MGR - Total",836
"Louisiana","2017","MGR - Studio",587
"Louisiana","2017","MGR - 1 BDRM",700
"Louisiana","2017","MGR - 2 BDRM",821
"Louisiana","2018","MGR - Total",854
"Louisiana","2018","MGR - Studio",614
"Louisiana","2018","MGR - 1 BDRM",732
"Louisiana","2018","MGR - 2 BDRM",844
"Louisiana","2019","MGR - Total",866
"Louisiana","2019","MGR - Studio",710
"Louisiana","2019","MGR - 1 BDRM",742
"Louisiana","2019","MGR - 2 BDRM",863
"Maine","2015","MGR - Total",792
"Maine","2015","MGR - Studio",665
"Maine","2015","MGR - 1 BDRM",619
"Maine","2015","MGR - 2 BDRM",859
"Maine","2016","MGR - Total",797
"Maine","2016","MGR - Studio",594
"Maine","2016","MGR - 1 BDRM",632
"Maine","2016","MGR - 2 BDRM",866
"Maine","2017","MGR - Total",806
"Maine","2017","MGR - Studio",529
"Maine","2017","MGR - 1 BDRM",647
"Maine","2017","MGR - 2 BDRM",868
"Maine","2018","MGR - Total",839
"Maine","2018","MGR - Studio",623
"Maine","2018","MGR - 1 BDRM",693
"Maine","2018","MGR - 2 BDRM",903
"Maine","2019","MGR - Total",870
"Maine","2019","MGR - Studio",727
"Maine","2019","MGR - 1 BDRM",673
"Maine","2019","MGR - 2 BDRM",909
"Maryland","2015","MGR - Total",1278
"Maryland","2015","MGR - Studio",904
"Maryland","2015","MGR - 1 BDRM",1025
"Maryland","2015","MGR - 2 BDRM",1310
"Maryland","2016","MGR - Total",1314
"Maryland","2016","MGR - Studio",993
"Maryland","2016","MGR - 1 BDRM",1079
"Maryland","2016","MGR - 2 BDRM",1321
"Maryland","2017","MGR - Total",1337
"Maryland","2017","MGR - Studio",1011
"Maryland","2017","MGR - 1 BDRM",1118
"Maryland","2017","MGR - 2 BDRM",1355
"Maryland","2018","MGR - Total",1371
"Maryland","2018","MGR - Studio",1077
"Maryland","2018","MGR - 1 BDRM",1143
"Maryland","2018","MGR - 2 BDRM",1392
"Maryland","2019","MGR - Total",1401
"Maryland","2019","MGR - Studio",1062
"Maryland","2019","MGR - 1 BDRM",1180
"Maryland","2019","MGR - 2 BDRM",1424
"Massachusetts","2015","MGR - Total",1164
"Massachusetts","2015","MGR - Studio",910
"Massachusetts","2015","MGR - 1 BDRM",920
"Massachusetts","2015","MGR - 2 BDRM",1234
"Massachusetts","2016","MGR - Total",1179
"Massachusetts","2016","MGR - Studio",817
"Massachusetts","2016","MGR - 1 BDRM",966
"Massachusetts","2016","MGR - 2 BDRM",1273
"Massachusetts","2017","MGR - Total",1208
"Massachusetts","2017","MGR - Studio",928
"Massachusetts","2017","MGR - 1 BDRM",981
"Massachusetts","2017","MGR - 2 BDRM",1292
"Massachusetts","2018","MGR - Total",1295
"Massachusetts","2018","MGR - Studio",917
"Massachusetts","2018","MGR - 1 BDRM",1019
"Massachusetts","2018","MGR - 2 BDRM",1381
"Massachusetts","2019","MGR - Total",1360
"Massachusetts","2019","MGR - Studio",1100
"Massachusetts","2019","MGR - 1 BDRM",1086
"Massachusetts","2019","MGR - 2 BDRM",1477
"Michigan","2015","MGR - Total",803
"Michigan","2015","MGR - Studio",616
"Michigan","2015","MGR - 1 BDRM",635
